"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",17,31,7,5,2,2,0,0,0,0
"2",45,59,46,8,3,1,0,0,0,0
"3",56,100,50,47,25,3,0,0,1,1
"4",14,57,24,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
