country,frequency
algeria,81
argentina,740
australia,500
belgium,270
bosnia,34
brazil,10123
cameroon,60
chile,163
colombia,75
costa,49
croatia,229
ecuador,70
england,1611
france,119
germany,750
ghana,211
greece,52
honduras,54
iran,79
italy,369
ivory,26
japan,359
holland,34
mexico,164
nigeria,98
portugal,194
russia,38
korea,104
spain,1014
switzerland,28
usa,1328
uruguay,74
