"V1","V2","V3","V4","V5","V6","V7"
"1",28,100,100,100,51,19,7
"2",32,92,100,100,65,7,3
"3",10,43,19,37,11,3,0
"4",2,8,17,9,11,0,0
"5",2,2,6,22,1,0,0
"6",0,3,2,3,0,0,8
"7",2,0,1,2,2,0,0
